  192.168.1.1;DC:8E:8D:C5:64:64;Netis N5 Router;Netis
192.168.1.100;00:E0:4C:4E:81:1F;DEXP Mini Ethernet;DEXP
192.168.1.150;70:68:71:80:48:0C;DEXP Mini Wi-Fi;DEXP
192.168.1.101;DC:A6:32:1C:D1:2C;HA Office Ethernet;HA
192.168.1.151;DC:A6:32:1C:D1:2D;HA Office Wi-Fi;HA
192.168.1.152;64:63:06:2E:CA:ED;Redmi Note 14 Wi-Fi;HA
192.168.1.153;44:71:47:11:F3:AB;Xiaomi 12S Ultra;Xiaomi
192.168.1.250;7C:DF:A1:F3:56:58;OTBR #3 Wi-Fi;Espressif
192.168.1.201;1C:69:20:93:CA:2B;SmLight SLZB-06 Ethernet;SmLight
192.168.1.251;1C:69:20:93:CA:28;SmLight SLZB-06 Wi-Fi;SmLight
192.168.1.202;28:37:2F:E2:60:EB;OTBR #4 Ethernet;Espressif
192.168.1.252;28:37:2F:E2:60:E8;OTBR #4 Wi-Fi;Espressif
192.168.1.203;28:37:2F:E2:AF:33;OTBR #5 Ethernet;Espressif
192.168.1.253;28:37:2F:E2:AF:30;OTBR #5 Wi-Fi;Espressif
192.168.1.123;00:0A:F5:C1:A3:4D;Xiaomi Watch 2;Xiaomi
192.168.1.234;14:DA:E9:B0:AE:18;HP Office PC;HP
192.168.1.234;90:DE:80:A7:82:E1;Realtek 8812BU (USB HP PC);Realtek Semiconductor
